Clofentezine,C14H8Cl2N4,8.32E-09,303.15
"2,4'-Dichlorodiphenyldichloroethylene",C14H8Cl4,4.40E-07,318.03
"p,p'-Dichlorodiphenyldichloroethylene",C14H8Cl4,3.77E-07,318.03
Anthraquinone,C14H8O2,6.50E-06,208.22
Alizarin,C14H8O4,1.30E-05,240.22
Quinizarin,C14H8O4,4.00E-07,240.22
Purpurin,C14H8O5,2.50E-05,256.22
Quinalizarin,C14H8O6,9.50E-06,272.22
"Anthraquinone-1,8-disulfonic acid",C14H8O8S2,1.09E+00,368.34
"1,6-Anthraquinone disulfonic acid",C14H8O8S2,1.36E+00,368.34
"1,5-Anthraquinone disulfonic acid",C14H8O8S2,1.09E+00,368.34
Difluron,C14H9ClF2N2O2,9.66E-07,310.69
Efavirenz,C14H9ClF3NO2,2.53E-05,315.68
Bifenox,C14H9Cl2NO5,1.02E-06,342.14
"o,p'-DDT",C14H9Cl5,2.40E-07,354.49
"p,p'-DDT",C14H9Cl5,4.80E-09,354.49
Dicofol,C14H9Cl5O,3.56E-06,370.49
1-Fluoroanthracene,C14H9F,1.33E-06,196.23
2-Aminoanthraquinone,C14H9NO2,7.30E-07,223.23
1-Aminoanthraquinone,C14H9NO2,1.40E-06,223.23
"2-Phenyl-3,1-benzoxazin-4-one",C14H9NO2,2.46E-05,223.23
4-Benzoyl phenylisothiocyanate,C14H9NO2S,1.40E-05,255.3
1-Amino-4-hydroxyanthraquinone,C14H9NO3,1.20E-06,239.23
Phenanthrene,C14H10,5.62E-06,178.24
Anthracene,C14H10,2.50E-07,178.24
Fenclofenac,C14H10Cl2O3,2.84E-05,297.14
DDD,C14H10Cl4,2.81E-07,320.05
"1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane",C14H10Cl4,3.13E-07,320.05
Flufenamic acid,C14H10F3NO2,3.89E-06,281.24
"1,4-Diamino-9,10-anthraquinone",C14H10N2O2,9.60E-07,238.25
Dipentum,C14H10N2O6,3.80E-08,302.25
2-Anthranol,C14H10O,4.72E-04,194.24
1-Anthranol,C14H10O,1.85E-04,194.24
Diphenyleneglycollic acid,C14H10O3,1.08E-02,226.23
Diphenic acid,C14H10O4,5.20E-03,242.23
Benzoyl peroxide,C14H10O4,6.40E-07,242.23
Gentisin,C14H10O5,1.16E-03,258.23
Digallic acid,C14H10O9,1.55E-03,322.23
"7-Chloro-5,11-dihydrodibenz[b,e][1,4]oxazepine-5-carboxamide",C14H11ClNO2,1.53E-04,260.7
2?-Methyl-3'chloro-2-hydroxy-5-nitrobenzanilide,C14H11ClN2O4,1.10E-05,306.71
2?-Methyl-5'-chloro-2-hydroxy-5-nitrobenzanilide,C14H11ClN2O4,7.53E-06,306.71
2?-Methyl-3'-chloro-2-hydroxy-3-nitrobenzanilide,C14H11ClN2O4,1.53E-05,306.71
2?-Methyl-3'-chloro-2-hydroxy-3nitrobenzanilide,C14H11ClN2O4,1.53E-05,306.71
Chlorthalidone,C14H11ClN2O4S,3.54E-04,338.77
Diclofenac,C14H11Cl2NO2,3.82E-06,296.16
"2,2-bis(-p-Hydroxyphenyl)-1,1,1-trichloroethylene",C14H11Cl3O2,2.39E-04,317.6
"1-Acetoxymethyl-3-benzoyl-5-fluoro-2,4(1H,3H)-pyrimidinedi-one",C14H11FN2O5,4.57E-04,306.25
2-Aminoanthracene,C14H11N,6.73E-06,193.25
Diphenatrile,C14H11N,1.14E-03,193.25
N-Benzoylbenzamide,C14H11NO2,5.33E-03,225.25
Salicylolhydrazone of picolinealdehyde,C14H11N3O2,7.90E-04,253.26
1-Methylfluorene,C14H12,6.05E-06,180.25
"1,1-Diphenylethene",C14H12,3.66E-05,180.25
"9,10-Dihydroanthracene",C14H12,7.77E-06,180.25
trans-Stilbene,C14H12,1.61E-06,180.25
Perfluidone,C14H12F3NO4S2,1.58E-04,379.38
4'-Methyl-2-hydroxy-5-nitrobenzanilide,C14H12N2O4,1.41E-05,272.26
4'-Methyl-2-hydroxy-3-nitrobenzanilide,C14H12N2O4,3.07E-05,272.26
2'-Methyl-2-hydroxy-3-nitrobenzanilide,C14H12N2O4,2.82E-05,272.26
4'-Methoxy-2-hydroxy-5nitrobenzanilide,C14H12N2O5,1.93E-05,288.26
4'-Methoxy-2-hydroxy-3nitrobenzanilide,C14H12N2O5,3.53E-05,288.26
2-(4-Aminophenyl)-6-methyl-benzothiazole,C14H12N2S,2.08E-04,240.33
C.I. Disperse blue 1,C14H12N4O2,1.00E-07,268.28
4-Biphenylacetic acid,C14H12O2,1.85E-04,212.25
Benzoin,C14H12O2,1.41E-03,212.25
Benzyl benzoate,C14H12O2,3.54E-03,212.25
Diphenylacetic acid,C14H12O2,6.00E-04,212.25
Benzilic acid,C14H12O3,6.19E-03,228.25
Benzylparaben,C14H12O3,4.03E-04,228.25
Khellin,C14H12O5,1.15E-04,260.25
"2-Chloro-11-ethyl-5-methyl-5,11-dihydro-6H-dipyrido[3,2-b:2',3'-e][1,4]diazepin-6-one",C14H13ClN4O,7.69E-05,288.74
"Benzoic acid, 2-(acetyloxy)-, (2,5-dioxo-1-pyrrolidinyl)methyl ester",C14H13NO6,1.72E-03,291.26
Bromodichloromethane,CHBrCl2,1.85E-02,163.83
Chlorodibromomethane,CHBr2Cl,5.04E-03,208.29
Bromoform,CHBr3,7.91E-04,252.75
Chlorodifluoromethane,CHClF2,3.02E-01,86.47
Chloroform,CHCl3,7.47E-02,119.38
Iodoform,CHI3,3.00E-04,393.73
Bromochloromethane,CH2BrCl,1.29E-01,129.39
Methylene bromide,CH2Br2,6.26E-02,173.85
Methylene chloride,CH2Cl2,2.31E-01,84.93
Methylene iodide,CH2I2,3.11E-03,267.84
Cyanamide,CH2N2,1.06E+01,42.04
Methyl bromide,CH3Br,1.39E-01,94.94
Bromomethionic acid,CH3BrO6S2,3.04E+00,255.07
Methyl chloride,CH3Cl,1.06E-01,50.49
Chloromethionic acid,CH3ClO6S2,1.54E+01,210.61
Fluoromethane,CH3F,5.85E-02,34.03
Iodomethane,CH3I,9.77E-02,141.94
